id_transaccion,fecha_hora,hora,dia_semana,producto,monto,monto_promedio_usuario,saldo_anterior,saldo_posterior,destinatario_nuevo,hora_inusual,velocidad_operacion,llamada_reciente,cambio_dispositivo,edad,usuario_nuevo,dias_desde_registro,cantidad_operaciones_dia,operaciones_ultima_hora,alertas_ignoradas,distancia_operaciones,ubicacion_inusual,puntaje_riesgo,nivel_riesgo,fraude
1,2026-01-01 00:00:00,0,3,Yape,240.07,793.93,5397.5,5157.43,1,1,120,0,0,55,0,1170,4,0,0,3.64,0,2,Bajo,0
2,2026-01-01 00:10:00,0,3,Transferencia,818.35,509.2,1607.49,789.14,0,0,63,1,0,25,0,2818,3,0,0,5.09,0,1,Bajo,0
3,2026-01-01 00:20:00,0,3,Compra,457.28,554.58,9950.37,9493.09,0,0,145,0,0,18,0,45,5,0,1,27.81,0,1,Bajo,0
4,2026-01-01 00:30:00,0,3,Recarga,109.43,280.67,4833.47,4724.04,1,1,54,0,0,32,0,1262,3,1,1,3.18,0,2,Bajo,0
5,2026-01-01 00:40:00,0,3,Yape,1461.35,900.0,3546.97,2085.62,0,0,62,1,1,60,0,2660,6,2,1,1.98,0,3,Medio,0
6,2026-01-01 00:50:00,0,3,Yape,52.68,960.44,8503.17,8450.49,1,1,14,0,0,48,0,20,2,0,0,4.27,1,5,Alto,1
7,2026-01-01 01:00:00,1,3,Yape,322.37,671.91,8146.49,7824.12,0,0,94,0,0,33,0,1597,5,0,1,2.56,0,0,Bajo,0
8,2026-01-01 01:10:00,1,3,Transferencia,107.46,194.11,2354.25,2246.79,0,0,6,0,0,19,0,949,6,0,0,4.53,0,1,Bajo,0
9,2026-01-01 01:20:00,1,3,Recarga,55.3,557.78,8433.05,8377.75,0,0,152,0,1,62,0,491,4,1,0,4.77,0,3,Medio,0
10,2026-01-01 01:30:00,1,3,Compra,78.71,337.34,2848.45,2769.74,0,1,27,0,0,33,0,1938,3,1,1,2.74,0,1,Bajo,0
11,2026-01-01 01:40:00,1,3,Yape,232.94,478.32,695.1,462.16,1,0,65,0,0,24,0,1860,6,1,0,13.09,0,2,Bajo,0
12,2026-01-01 01:50:00,1,3,Transferencia,347.14,690.81,354.79,7.65,0,0,161,0,0,46,0,7,5,1,1,2.63,0,1,Bajo,0
13,2026-01-01 02:00:00,2,3,Compra,705.52,117.17,5216.61,4511.09,1,0,43,1,0,21,0,545,2,0,1,0.25,0,4,Medio,0
14,2026-01-01 02:10:00,2,3,Yape,1070.67,243.13,3408.65,2337.98,1,0,30,0,0,23,0,2548,4,0,2,1.76,0,4,Medio,0
15,2026-01-01 02:20:00,2,3,Yape,323.01,762.38,7644.51,7321.5,0,0,111,0,0,69,0,1044,2,0,0,1.21,0,0,Bajo,0
16,2026-01-01 02:30:00,2,3,Yape,157.09,86.26,5367.35,5210.26,0,1,172,0,0,50,0,199,4,0,0,3.55,0,2,Bajo,0
17,2026-01-01 02:40:00,2,3,Yape,691.61,621.77,7793.76,7102.15,0,1,71,0,0,35,0,34,3,1,0,16.25,0,2,Bajo,0
18,2026-01-01 02:50:00,2,3,Pago de servicios,132.34,303.9,6876.12,6743.78,0,1,157,0,0,65,0,1623,2,1,0,27.03,0,3,Medio,0
19,2026-01-01 03:00:00,3,3,Pago de servicios,49.62,907.36,9857.2,9807.58,0,1,171,0,0,29,0,43,6,1,0,2.29,0,2,Bajo,0
20,2026-01-01 03:10:00,3,3,Yape,625.79,841.45,4825.7,4199.91,0,0,39,0,0,24,0,2071,7,1,0,4.08,0,0,Bajo,0
21,2026-01-01 03:20:00,3,3,Recarga,919.58,923.37,3398.76,2479.18,0,0,7,0,0,36,0,985,1,0,0,7.92,0,1,Bajo,0
22,2026-01-01 03:30:00,3,3,Yape,107.58,139.17,1838.97,1731.39,0,0,42,0,0,28,0,850,7,0,0,3.56,0,0,Bajo,0
23,2026-01-01 03:40:00,3,3,Yape,1738.58,994.98,6584.97,4846.39,0,0,155,0,0,47,0,1727,5,1,0,2.02,0,3,Medio,0
24,2026-01-01 03:50:00,3,3,Yape,438.37,186.32,5400.84,4962.47,0,1,163,0,0,40,0,1676,8,0,0,1.37,0,2,Bajo,0
25,2026-01-01 04:00:00,4,3,Pago de servicios,377.65,876.62,7082.58,6704.93,0,0,96,0,0,45,0,2474,3,1,0,21.0,0,1,Bajo,0
26,2026-01-01 04:10:00,4,3,Compra,145.96,407.17,7831.3,7685.34,0,1,17,0,0,65,0,1262,2,1,0,3.85,0,2,Bajo,0
27,2026-01-01 04:20:00,4,3,Yape,676.74,957.35,6522.8,5846.06,0,1,40,0,1,42,0,1709,3,1,0,1.7,0,3,Medio,0
28,2026-01-01 04:30:00,4,3,Pago de servicios,53.28,50.99,8187.97,8134.69,0,0,74,0,0,78,0,1034,5,0,1,5.29,0,0,Bajo,0
29,2026-01-01 04:40:00,4,3,Recarga,174.2,704.71,2137.58,1963.38,0,0,142,0,0,32,1,999,5,1,0,0.16,0,1,Bajo,0
30,2026-01-01 04:50:00,4,3,Yape,117.55,995.88,9009.7,8892.15,0,0,112,0,0,48,0,2209,7,2,0,10.46,0,1,Bajo,0
31,2026-01-01 05:00:00,5,3,Recarga,66.09,709.17,2406.85,2340.76,1,1,5,0,0,76,1,595,4,3,0,1.21,1,6,Alto,1
32,2026-01-01 05:10:00,5,3,Yape,579.98,721.22,3336.89,2756.91,0,0,114,0,0,37,0,946,3,1,0,7.25,0,0,Bajo,0
33,2026-01-01 05:20:00,5,3,Yape,344.17,683.89,1273.16,928.99,0,0,17,0,0,19,0,114,3,2,1,0.86,0,1,Bajo,0
34,2026-01-01 05:30:00,5,3,Transferencia,547.13,980.4,1783.57,1236.44,0,0,158,0,0,55,0,2965,2,1,0,9.39,1,3,Medio,0
35,2026-01-01 05:40:00,5,3,Transferencia,185.25,731.73,7052.76,6867.51,1,0,86,0,0,50,0,1993,2,0,0,1.41,1,3,Medio,0
