,count,mean,std,min,25%,50%,75%,max
id_transaccion,50000.0,25000.5,14433.90106658626,1.0,12500.75,25000.5,37500.25,50000.0
hora,50000.0,11.49404,6.924157952969238,0.0,5.0,11.0,17.0,23.0
dia_semana,50000.0,3.01536,1.9993208887220484,0.0,1.0,3.0,5.0,6.0
monto,50000.0,403.38794620000004,494.96822574237007,5.0,125.64,246.68,483.14,5000.0
monto_promedio_usuario,50000.0,526.2881712000001,274.4433433542554,50.01,287.855,526.645,763.5275,999.99
saldo_anterior,50000.0,5030.1103854,2855.395819509365,24.83,2535.4224999999997,5015.95,7492.42,9999.83
saldo_posterior,50000.0,4626.7224392,2891.2071109256685,0.0,2114.08,4605.275,7097.4075,9970.74
destinatario_nuevo,50000.0,0.29964,0.45810486528888994,0.0,0.0,0.0,1.0,1.0
hora_inusual,50000.0,0.19972,0.39979384475297525,0.0,0.0,0.0,0.0,1.0
velocidad_operacion,50000.0,92.712,51.006093444130464,5.0,49.0,93.0,137.0,180.0
llamada_reciente,50000.0,0.17834,0.3828025276242349,0.0,0.0,0.0,0.0,1.0
cambio_dispositivo,50000.0,0.1207,0.32578157202741453,0.0,0.0,0.0,0.0,1.0
edad,50000.0,49.0239,18.197897462603784,18.0,33.0,49.0,65.0,80.0
usuario_nuevo,50000.0,0.10078,0.3010402034680452,0.0,0.0,0.0,0.0,1.0
dias_desde_registro,50000.0,1501.10208,864.7120382172636,1.0,756.0,1502.0,2250.0,2999.0
cantidad_operaciones_dia,50000.0,3.99876,1.999099394819529,0.0,3.0,4.0,5.0,15.0
operaciones_ultima_hora,50000.0,1.00078,0.999659631068275,0.0,0.0,1.0,2.0,7.0
alertas_ignoradas,50000.0,0.39622,0.6308071575001342,0.0,0.0,0.0,1.0,4.0
distancia_operaciones,50000.0,4.9457316,4.977751365921631,0.0,1.42,3.41,6.85,60.44
ubicacion_inusual,50000.0,0.08166,0.27384876166030997,0.0,0.0,0.0,0.0,1.0
puntaje_riesgo,50000.0,1.89846,1.5417902486211976,0.0,1.0,2.0,3.0,12.0
fraude,50000.0,0.06444,0.24553755756267404,0.0,0.0,0.0,0.0,1.0
