,fraude
monto,0.4044552415054277
cambio_dispositivo,0.2538078389800476
ubicacion_inusual,0.24357702477290466
hora_inusual,0.12540481969986736
destinatario_nuevo,0.11532035015593546
monto_promedio_usuario,0.1012046262981565
llamada_reciente,0.09902882350799584
usuario_nuevo,0.08206345877284318
distancia_operaciones,0.08157815211405771
saldo_posterior,0.06494784096391999
alertas_ignoradas,0.045889792529640275
velocidad_operacion,0.02419889175619566
operaciones_ultima_hora,0.014217763086688371
dia_semana,0.008942373945242492
saldo_anterior,0.004347850326446323
hora,0.003472759651820676
cantidad_operaciones_dia,0.0024853215854897036
dias_desde_registro,0.0023079004447694586
edad,0.0003044005903942603
